题记序号,题记名称,时间,公元纪年,地点,窟位,造像者人数,性别,所造佛像名称,出资者,造像者身份表述,阶层,社邑组织,实践行为（一级编码）,实践行为（二级编码）,祈愿内容（一级编码）,祈愿内容（二级编码）,造像原因（一级编码）,造像原因（二级编码）,关联历史事件,经文,妆造类型,宗教类型,宗派倾向(主宗派倾向；副宗派倾向）,备注
462,张公造像记,中唐,756-835,[不详],四川省眉山市仁寿县高家镇鹰头村牛角寨石窟牛角寨区 N-Y1-001-1,1,男 1 人,八部众、观音菩萨、势至菩萨、阿难尊者,张公,植福弟子,虔诚弟子,非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,"净土,观音体系",
463,士𮟀造像记,盛唐,713-755,[不详],四川省眉山市仁寿县高家镇鹰头村牛角寨石窟牛角寨区 N-Y1-002-1,1,男 1 人,观音菩萨,士𮟀,沙弥,僧尼个体,非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,观音体系,
464,□卢造像记,中唐,756-835,[不详],四川省眉山市仁寿县高家镇鹰头村牛角寨石窟牛角寨区 N-Y1-022,1,至少男 4 人,一佛二弟子二菩萨二天王,卢□、卢明母等,佛弟子、家属,平民合众(家庭合署),非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
465,□娘造像记,中唐,756-835,[不详],四川省眉山市仁寿县高家镇鹰头村牛角寨石窟牛角寨区 N-Y4-022,1,女 1 人,菩萨,□娘,女弟子,虔诚弟子,非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
466,李生造像记,唐贞元十一年（795 年）,795,[不详],四川省眉山市仁寿县高家镇鹰头村牛角寨石窟牛角寨区 N-Y7-037,[不详],[不详],四大天王、一老尊、一天君,李生□、陈期等,信众,平民合众,非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,二教混合（佛道）,无法判定,
467,杨行进造像记,唐天宝八年（749 年）,749,[不详],四川省眉山市仁寿县高家镇鹰头村牛角寨石窟坛神岩区 T-Y1-057,4,男 2 人、女 2 人,三宝像,杨行进、杨正真、杨正观等,三洞道士、女道士,虔诚弟子,非社邑,造像制作、造像制作、,发心造像、镌刻雕造,国邦安宁,国泰民安 (为国为家),信息不详,信息不详,事件未提,[不详],新造,道教,无法判定,六斋日
468,惠静造像记,盛唐,713-755,[不详],四川省眉山市仁寿县高家镇鹰头村牛角寨石窟坛神岩区 T-Y5-088,8,男 8 人,一佛二弟子二菩萨二力士,惠静、法全、赵思侯等,比丘、弟子、信众,混合群体(僧尼个体、普通百姓),非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
469,碧水寺造像记,唐贞观年间（627-649 年）,627-649,四川省绵阳市游仙区碧水寺摩崖造像,第 10 龛,1,男,经文龛（《金刚经》相关经文）,[不详],[不详],[不详],非社邑,造像制作、,镌刻雕造,信息不详,信息不详,弘法传教,弘传佛法,事件未提,金刚经,新造,佛教,无法判定,浴佛节
470,玉女泉何造像记,唐咸亨元年（670 年）,670,四川省绵阳市玉女泉摩崖造像,第 16 龛,1,男 1 人,天尊,何□□曾□,弟子,虔诚弟子,非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,道教,无法判定,
471,玉女泉任智斌造像记,唐中早期,618-712,四川省绵阳市玉女泉摩崖造像,第 17 龛,1,男 1 人,天尊、老君,任智斌,道□,虔诚弟子,非社邑,造像制作、,发心造像,超度往生,亡亲超荐 (为亡父、亡师),超度荐亡,亡亲超荐,家庭变故(為亡父任士、亡師任士),[不详],新造,道教,无法判定,另有版本
472,圣水寺雄说伯造像记,唐永徽元年（650 年）,650,四川省绵阳市魏城镇圣水村圣水寺,第 2 龛,至少2人,男≥2 人,天尊老君、阿弥陀佛、新灵像,雄說伯等三洞弟子、道僧,三洞弟子、道僧,混合群体(混合流派),非社邑,造像制作、造像制作、,发心造像、镌刻雕造,国邦安宁,国运太平,祈福禳灾,护国安邦、家族昌盛 超度荐亡-> 普度众生,事件未提,[不详],新造,二教混合（佛道）,无法判定,
473,圣水寺杨文德造像记,唐开元十七年（729 年）,729,四川省绵阳市魏城镇圣水村圣水寺,第 2 龛,1,男 1 人,八身造像（题材不详）,楊文德,洞玄弟子,虔诚弟子,非社邑,庄严修饰、,妆銮彩绘,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,二教混合（佛道）,无法判定,
474,圣水寺王□造像记,唐太和二年（828 年）,828,四川省绵阳市魏城镇圣水村圣水寺,第 5 龛,2,男 2 人,一主尊二胁侍,王…… 等三人,信众,平民合众,非社邑,纪念庆赞、,设斋表赞,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
475,圣水寺王宗建造像记,唐中和五年（885 年）,885,四川省绵阳市魏城镇圣水村圣水寺,第 7 龛,1,男 1 人,水月观音菩萨,王宗建,弟子,虔诚弟子,非社邑,造像制作、纪念庆赞、,发心造像、设斋表赞,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,"密教,观音体系",
476,圣水寺王五娘造像记,后蜀广政三年（940 年）,940,四川省绵阳市魏城镇圣水村圣水寺,第 7 龛,1,男,供养像,王五娘,女弟子,虔诚弟子,非社邑,纪念庆赞、,设斋表赞,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],重妆,无法判定,无法判定,
477,北山院马造像记,唐乾符四年（877 年）,877,四川省绵阳市魏城镇北山院,第 2 龛（或 1 号龛）,[不详],[不详],弥勒菩萨,馬……、黄顯□等五人,佛弟子、舍俗僧人,混合群体(僧尼个体、普通百姓),非社邑,造像制作、造像制作、,发心造像、镌刻雕造,信息不详,信息不详,信息不详,信息不详,地方暴力(白刃到孟津，遭兵火),[不详],新造,佛教,弥勒体系,
478,北山院含供养人造像记,唐乾符七年（880 年）,880,四川省绵阳市魏城镇北山院,第 5 龛,[不详],[不详],供养菩萨、供养人,[不详],信众、僧人,混合群体(僧尼个体、普通百姓),非社邑,造像制作、造像制作、,发心造像、镌刻雕造,超度往生,往生净土 (十念往生),超度荐亡,亡亲超荐,事件未提,[不详],新造,无法判定,无法判定,
479,北山院造十王像记,五代到北宋（907-1127 年）,907-1127,四川省绵阳市魏城镇北山院,第 10 龛,1,未知（题记模糊）,十王像、地藏菩萨,[不详],信众,平民合众,非社邑,造像制作、造像制作、,发心造像、镌刻雕造,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,二教混合（佛道）,地藏体系,
480,北山院造菩萨像记,唐中和元年（881 年）,881,四川省绵阳市魏城镇北山院,第 13 龛,[不详],[不详],菩萨,[不详],信众,虔诚弟子,非社邑,纪念庆赞、,设斋表赞,信息不详,信息不详,信息不详,信息不详,地方暴力(遇賊),[不详],新造,佛教,无法判定,
481,卧龙山离晋造像记,唐中和四年（884 年）,884,四川省绵阳市梓潼县卧龙山千佛崖,第 1 龛,1,未知（题记模糊）,一佛二菩萨,離晉□□□,弟子,虔诚弟子,非社邑,庄严修饰、,重装修饰,超度往生,往生净土 (愿亡者),超度荐亡,亡亲超荐,事件未提,[不详],重妆,佛教,无法判定,
482,常静造像记,唐初唐,618-712,[不详],四川省绵阳市梓潼县卧龙山千佛崖第 2 龛,1,男 1 人,释迦牟尼佛变,常靜,比丘,僧尼个体,非社邑,庄严修饰、,妆銮彩绘,超度往生,往生净土 (愿亡者),超度荐亡,亡亲超荐,家庭变故(為亡妣亡敬粧),[不详],重妆,佛教,无法判定,
483,青义镇千佛崖造像记,唐开元年间（713-741 年）,713-741,四川省绵阳市青义镇千佛崖,第 8 龛,[不详],[不详],一主尊二胁侍,[不详],[不详],[不详],非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
484,青义镇千佛崖第12龛造像记,唐晚唐,836-907,四川省绵阳市青义镇千佛崖第12龛,四川省绵阳市青义镇千佛崖 12 号龛,1,[不详],天尊,[不详],[不详],[不详],非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,道教,无法判定,
485,青义镇千佛崖袁□□造像记,唐广明元年（880 年）,880,四川省绵阳市青义镇千佛崖,第 13 龛,1,男 1 人,救苦觀世音菩薩,袁□□,弟子,虔诚弟子,非社邑,造像制作、,发心造像,现世福报,家庭和睦 (愿合家平安),祈福禳灾,护宅安镇,事件未提,[不详],新造,佛教,观音体系,下元节
486,青义镇千佛崖王法庆造像记,唐广明元年（880 年）,880,四川省绵阳市青义镇千佛崖,第 16 龛,2,男 2 人,觀世音菩薩,王法庆、袁□□,弟子,虔诚弟子,非社邑,造像制作、,发心造像,现世福报,家庭和睦 (为见存),祈福禳灾,家族昌盛,事件未提,[不详],新造,佛教,观音体系,
487,夹江千佛岩五十三佛造像记,不详,不详,四川省乐山市夹江县千佛岩古代摩崖,C 区 049 龛,[不详],[不详],佛像五十三尊,[不详],[不详],[不详],非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,"净土,药师体系",
488,夹江千佛岩含香炉造像记-1,唐大中十三年（859 年）,859,四川省乐山市夹江县千佛岩古代摩崖,C 区 062 龛,[不详],[不详],三佛二比丘一香炉二卧狮,[不详],[不详],[不详],非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
489,夹江千佛岩斋户造像记,唐乾符六年（879 年，原标大中二十一年）,879,四川省乐山市夹江县千佛岩古代摩崖,C 区 063 龛,至少1人,男≥1 人,一佛二菩萨二弟子二力士二卧狮,斋户等,斋户,平民合众,非社邑,造像制作、纪念庆赞、,集体共修、庆讫记功,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
490,夹江千佛岩含香炉造像记-2,唐大历十一年（776 年）,776,四川省乐山市夹江县千佛岩古代摩崖,C 区 078 龛,1,[不详],一佛二菩萨二弟子二力士一香炉二卧狮,[不详],[不详],[不详],非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
491,夹江千佛岩孙善造像记,中唐,756-835,四川省乐山市夹江县千佛岩古代摩崖,D 区 099 龛,1,男 1 人,一佛二菩萨,孫□善,弟子,虔诚弟子,非社邑,信息不详、,信息不详,现世福报,福寿康宁 (保□□顺),祈福禳灾,护宅安镇,事件未提,[不详],新造,佛教,无法判定,
492,夹江千佛岩三尊佛造像记,唐大中十一年（857 年）,857,四川省乐山市夹江县千佛岩古代摩崖,E 区 115 龛,[不详],[不详],三尊佛、十八尊菩萨、诸多疑似佛菩萨像,[不详],[不详],[不详],非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
493,夹江千佛岩坐像造像记,不详,不详,四川省乐山市夹江县千佛岩古代摩崖,E 区 133 龛,[不详],[不详],坐像两尊,[不详],[不详],[不详],非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,无法判定,无法判定,
494,夹江千佛岩王起造像记,中唐（清代重装）,756-835,四川省乐山市夹江县千佛岩古代摩崖,E 区 135 龛,至少32人,男 20 人、女 12 人,佛坐像六十六尊、菩萨立像两尊,王起、杜氏、謝永彰等,信士、信女,平民合众,非社邑,庄严修饰、,重装修饰,信息不详,信息不详,修复缮完,修复圣像 (重装),事件未提,[不详],新造 + 重妆,佛教,无法判定,
495,夹江千佛岩含香炉造像记-3,唐开元二十七年（739 年）,739,四川省乐山市夹江县千佛岩古代摩崖,F 区 151 龛,[不详],[不详],一佛坐像二菩萨二比丘一立像一香炉二卧狮,[不详],[不详],[不详],非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
496,夹江千佛岩校尉造像记,唐开元二十七年（739 年）,739,四川省乐山市夹江县千佛岩古代摩崖,F 区 152 龛,至少4人,男≥4 人,佛立像、比丘立像、菩萨立像,校尉□□□、□都尉等,校尉、都尉,在职官员,非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
497,夹江千佛岩王荣造像记,不详,不详,四川省乐山市夹江县千佛岩古代摩崖,F 区 153 龛,[不详],未知（题记模糊）,一坐佛二菩萨立像,王荣,[不详],[不详],非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
498,夹江千佛岩造比丘立像记,不详,不详,四川省乐山市夹江县千佛岩古代摩崖,F 区 154 龛,[不详],未知（题记模糊）,比丘立像、菩萨立像,[不详],[不详],[不详],非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
499,龙拖湾张仁忠造像记,西凉嘉兴元年（417 年）,417,四川蒲江龙拖湾摩崖石刻造像,4 号龛 4 号碑,2,男 2 人,圆首方碑（无明确造像）,张仁忠、许七忠,信众,虔诚弟子,非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,无法判定,无法判定,
500,龙拖湾造像记,唐代,618-907,四川蒲江龙拖湾土地嘴造像,4 号龛,[不详],[不详],一佛二弟子二菩萨像,[不详],[不详],[不详],非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
501,龙拖湾含力士造像记,唐天宝年间（742-756 年）,742-756,四川蒲江龙拖湾土地嘴造像,11 号龛,[不详],[不详],一佛二弟子二菩萨二力士,[不详],[不详],[不详],非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
502,石马庵造像记,不详,不详,四川省成都市蒲江县石马庵造像,1 号龛,1,[不详],小菩萨坐像,[不详],[不详],[不详],非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
503,石马庵李郁造像记,唐大顺元年（890 年）、大中十一年（857 年）,857、890,四川省成都市蒲江县石马庵造像,2 号龛,3,男 3 人,一佛二弟子二菩萨二力士、周壁六层小佛像,李郁,都勾当人,在职官员,非社邑,造像制作、庄严修饰、,发心造像、重装修饰,现世福报,家庭和睦 (合家平安),修复缮完,修复圣像 (修装画),事件未提,[不详],新造 + 重妆,佛教,无法判定,
